type,node,server,direct_path,node_to_dc,DC_to_server,stretch
IndirectionDC,planetlab1.unr.edu,planetlab2.cs.uml.edu,98.128,28.057109936,39.7775383973,0.691287383145
IndirectionDC,planetlab1.unr.edu,planetlab2.cs.ucla.edu,24.723,10.2241013081,10.2241013081,0.82709228719
IndirectionDC,planetlab1.unr.edu,planetlab3.rutgers.edu,76.992,28.057109936,37.7827410192,0.855151846363
IndirectionDC,planetlab1.unr.edu,pl3.cs.unm.edu,80.199,28.057109936,45.8651094403,0.921734926574
IndirectionDC,planetlab1.unr.edu,ebb.colgate.edu,104.048,18.5672217585,79.4811197105,0.942337589084
IndirectionDC,planetlab1.unr.edu,planetlab-01.cs.princeton.edu,76.267,28.057109936,42.5867864078,0.926270816261
IndirectionDC,planetlab1.unr.edu,planetlab6.csee.usf.edu,82.183,28.057109936,28.9475364496,0.693630633898
IndirectionDC,planetlab1.unr.edu,node1.planetlab.mathcs.emory.edu,68.903,15.0971407902,50.8683078208,0.957366857916
IndirectionDC,planetlab1.unr.edu,planetlab01.cs.washington.edu,42.760,19.404631784,19.404631784,0.907606725164
IndirectionDC,planetlab1.unr.edu,planetlab2.citadel.edu,79.551,28.057109936,37.9210523094,0.829381934173
IndirectionDC,planetlab1.unr.edu,planetlab-03.cs.princeton.edu,82.124,28.057109936,42.7752293987,0.862504740815
IndirectionDC,planetlab1.unr.edu,planetlab1.cs.ucla.edu,24.857,10.4287188979,10.4287188979,0.839097147516
IndirectionDC,planetlab1.unr.edu,planetlab1.rutgers.edu,77.334,28.057109936,38.4141203008,0.859534360524
IndirectionDC,planetlab1.unr.edu,planetlab1.cs.uml.edu,75.717,28.057109936,28.3003219254,0.744316756625
IndirectionDC,ricepl-5.cs.rice.edu,planetlab1.unr.edu,55.100,22.6863554545,28.057109936,0.920934036125
IndirectionDC,ricepl-5.cs.rice.edu,planetlab2.cs.uml.edu,75.419,22.6863554545,39.7775383973,0.828224901574
IndirectionDC,ricepl-5.cs.rice.edu,planetlab1.cs.du.edu,50.824,22.6863554545,26.235187622,0.962567745091
IndirectionDC,ricepl-5.cs.rice.edu,planetlab2.rutgers.edu,60.108,22.6863554545,22.7196346689,0.755406769871
IndirectionDC,ricepl-5.cs.rice.edu,planetlab2.cs.uoregon.edu,59.057,22.6863554545,29.0883529084,0.876690457743
IndirectionDC,ricepl-5.cs.rice.edu,planetlab4.cs.uoregon.edu,59.289,22.6863554545,29.1121800724,0.873661817992
IndirectionDC,ricepl-5.cs.rice.edu,planetlab2.cs.du.edu,50.903,22.6863554545,26.3286050795,0.962909072825
IndirectionDC,ricepl-5.cs.rice.edu,planetlab1.cs.uml.edu,62.233,22.6863554545,28.3003219254,0.819286831422
IndirectionDC,planetlab3.wail.wisc.edu,ricepl-5.cs.rice.edu,45.831,22.6863554545,22.6863554545,0.99000045622
IndirectionDC,planetlab3.wail.wisc.edu,planetlab2.cs.ucla.edu,77.426,10.2241013081,57.4334564188,0.873835116458
IndirectionDC,planetlab3.wail.wisc.edu,planetlab2.utdallas.edu,39.374,10.6554155302,15.0352578669,0.652478117466
IndirectionDC,planetlab3.wail.wisc.edu,planetlab01.cs.washington.edu,66.507,19.404631784,41.2613191312,0.912173920267
IndirectionDC,planetlab3.wail.wisc.edu,planetlab1.cs.ucla.edu,77.558,10.4287188979,57.4423773322,0.875101165967
IndirectionDC,planetlab2.cs.uml.edu,planetlab2.cs.ucla.edu,93.591,10.2241013081,56.0082846411,0.707679007054
IndirectionDC,planetlab2.cs.uml.edu,planetlab2.utdallas.edu,60.273,10.6554155302,33.9559641068,0.740155287392
IndirectionDC,planetlab2.cs.uml.edu,node1.planetlab.mathcs.emory.edu,51.747,15.0971407902,15.0971407902,0.583498204348
IndirectionDC,planetlab2.cs.uml.edu,planetlab1.cs.ucla.edu,93.899,10.4287188979,56.1090996105,0.708610512448
IndirectionDC,planetlab2.cs.uml.edu,planetlab2.cs.pitt.edu,34.283,13.0832415136,13.0832415136,0.763249512213
IndirectionDC,planetlab2.cs.uml.edu,node2.planetlab.mathcs.emory.edu,51.930,14.7167689953,14.7167689953,0.566792566736
IndirectionDC,planetlab2.cs.ucla.edu,planetlab2.cs.uml.edu,109.328,10.2241013081,39.7775383973,0.457354380446
