type,node,server,direct_path,node_to_dc,DC_to_server,stretch
IndirectionDC,planetlab3.rutgers.edu,tumblr.com,7.547,38.7427691331,45.3292714602,11.139796024
IndirectionDC,planetlab3.rutgers.edu,imgur.com,7.331,21.0396230549,21.0396230549,5.73990534849
IndirectionDC,planetlab3.rutgers.edu,imdb.com,7.071,3.16264994062,42.7440511111,6.49225018409
IndirectionDC,planetlab3.rutgers.edu,amazonaws.com,7.419,3.20233116499,42.5590752791,6.16813673596
IndirectionDC,planetlab3.rutgers.edu,popads.net,7.333,2.49105524372,35.0907461783,5.12502405864
IndirectionDC,planetlab3.rutgers.edu,indeed.com,7.865,3.48122266515,48.59006548,6.62063422062
IndirectionDC,planetlab3.rutgers.edu,weather.com,7.176,14.4826998553,21.9444763624,5.07625086646
IndirectionDC,planetlab3.rutgers.edu,taboola.com,7.850,3.67175828111,42.3963000953,5.86854246833
IndirectionDC,planetlab3.rutgers.edu,washingtonpost.com,7.025,2.13675856164,40.7428561448,6.10385974469
IndirectionDC,planetlab3.rutgers.edu,uptodown.com,7.036,33.287257384,38.0655618867,10.1411056382
IndirectionDC,planetlab3.rutgers.edu,foxnews.com,8.869,17.3900240826,53.7898500317,8.02569332668
IndirectionDC,planetlab3.rutgers.edu,nih.gov,7.311,3.41562555721,42.2126051625,6.24103826012
IndirectionDC,planetlab3.rutgers.edu,comcast.net,7.703,23.3067156051,23.3067156051,6.05133470209
IndirectionDC,planetlab3.rutgers.edu,americanexpress.com,6.728,3.76556471288,42.6316015253,6.89613053481
IndirectionDC,planetlab3.rutgers.edu,wikihow.com,6.574,3.2287277827,35.5084326219,5.8924795261
IndirectionDC,planetlab3.rutgers.edu,groupon.com,10.319,17.1096604222,45.5685788138,6.07406136602
IndirectionDC,planetlab3.rutgers.edu,hulu.com,7.135,27.3759475081,61.7490216216,12.4912360378
IndirectionDC,planetlab3.rutgers.edu,deviantart.com,7.219,2.44454065621,40.5615405063,5.95734605382
IndirectionDC,planetlab3.rutgers.edu,goodreads.com,6.855,3.08341491566,42.4822149682,6.64706489918
IndirectionDC,planetlab3.rutgers.edu,zendesk.com,8.695,38.7427691331,40.2927665174,9.08976833243
IndirectionDC,planetlab3.rutgers.edu,slack.com,7.164,2.5379831669,40.788838896,6.04785344262
IndirectionDC,planetlab3.rutgers.edu,kohls.com,9.806,38.7427691331,56.9477646534,9.7583656727
IndirectionDC,planetlab3.rutgers.edu,hootsuite.com,6.608,2.92690717933,42.4646200637,6.86917785155
IndirectionDC,planetlab3.rutgers.edu,playstation.com,7.398,2.03729849046,35.2810982714,5.04438993807
IndirectionDC,planetlab3.rutgers.edu,bhaskar.com,5.873,23.7289833779,50.8473379791,12.6981647126
IndirectionDC,planetlab3.rutgers.edu,shopify.com,7.341,3.58103494226,43.0912930542,6.35776161238
IndirectionDC,planetlab3.rutgers.edu,newegg.com,0.674,12.6347972557,16.2614043506,42.87270268
IndirectionDC,planetlab3.rutgers.edu,instructure.com,6.728,38.7427691331,43.4214623624,12.2122817324
IndirectionDC,planetlab3.rutgers.edu,discovercard.com,6.763,19.7027159798,51.4812236504,10.5254975056
IndirectionDC,planetlab-01.cs.princeton.edu,tumblr.com,9.684,11.6173064935,45.3292714602,5.88048099481
IndirectionDC,planetlab-01.cs.princeton.edu,newegg.com,0.675,11.6173064935,12.6347972557,35.9290425914
IndirectionDC,pluto.cs.brown.edu,youtube.com,1.158,11.5516403582,3.06983970588,12.6264940104
IndirectionDC,pluto.cs.brown.edu,google.co.jp,1.258,11.9560907563,3.20189139466,12.0492703903
IndirectionDC,pluto.cs.brown.edu,google.de,1.150,10.988743073,3.4953216721,12.5948389088
IndirectionDC,pluto.cs.brown.edu,tumblr.com,9.182,16.4035474215,45.3292714602,6.72324318032
IndirectionDC,pluto.cs.brown.edu,doubleclick.net,1.278,10.7631245452,3.56610804393,11.2122320729
IndirectionDC,pluto.cs.brown.edu,jabong.com,8.588,16.4035474215,34.6224799286,5.94154952842
IndirectionDC,pluto.cs.brown.edu,kohls.com,8.507,16.4035474215,56.9477646534,8.6224652727
IndirectionDC,pluto.cs.brown.edu,newegg.com,1.334,12.6347972557,2.90699495848,11.6505189012
IndirectionDC,planetlabone.ccs.neu.edu,youtube.com,1.044,11.5516403582,3.06983970588,14.0052491035
IndirectionDC,planetlabone.ccs.neu.edu,tumblr.com,6.852,14.5061316411,45.3292714602,8.73254569488
IndirectionDC,planetlabone.ccs.neu.edu,discovercard.com,6.468,14.5061316411,19.7027159798,5.28893748004
IndirectionDC,planetlab1.emich.edu,youtube.com,4.148,11.5516403582,16.0217653418,6.64739770974
IndirectionDC,planetlab1.emich.edu,google.co.jp,3.732,11.9560907563,15.8319961929,7.44589682454
IndirectionDC,planetlab1.emich.edu,google.de,4.165,10.988743073,16.4028707919,6.57661797477
IndirectionDC,planetlab1.emich.edu,washingtonpost.com,7.112,2.13675856164,40.7428561448,6.02919216907
IndirectionDC,planetlab1.emich.edu,deviantart.com,6.924,2.44454065621,40.5615405063,6.21116134641
IndirectionDC,planetlab1.emich.edu,trello.com,7.515,23.263613099,27.3853612674,6.73971714789
IndirectionDC,planetlab1.emich.edu,slack.com,6.939,2.5379831669,40.788838896,6.24395763985
IndirectionDC,planetlab1.emich.edu,newegg.com,2.078,12.6347972557,16.2614043506,13.9057755564
IndirectionDC,planetlab3.eecs.umich.edu,youtube.com,1.383,11.5516403582,16.0217653418,19.9373866233
IndirectionDC,planetlab3.eecs.umich.edu,google.co.jp,0.601,11.9560907563,15.8319961929,46.2364175527
IndirectionDC,planetlab3.eecs.umich.edu,google.de,1.345,10.988743073,16.4028707919,20.3655121672
IndirectionDC,planetlab3.eecs.umich.edu,washingtonpost.com,6.366,2.13675856164,40.7428561448,6.73572332806
IndirectionDC,planetlab3.eecs.umich.edu,deviantart.com,6.186,2.44454065621,40.5615405063,6.95216313652
IndirectionDC,planetlab3.eecs.umich.edu,doubleclick.net,0.559,10.7631245452,15.9967245223,47.8709285644
IndirectionDC,planetlab3.eecs.umich.edu,trello.com,6.803,22.7278739981,27.3853612674,7.36634356394
IndirectionDC,planetlab3.eecs.umich.edu,newegg.com,1.351,12.6347972557,16.2614043506,21.3887502637
IndirectionDC,planetlab3.eecs.umich.edu,discovercard.com,6.783,19.7027159798,51.4812236504,10.4944625726
IndirectionDC,planetlab2.uta.edu,google.co.jp,1.911,11.9560907563,15.8319961929,14.541123469
IndirectionDC,planetlab2.uta.edu,linkedin.com,2.355,12.2529661349,16.5198427037,12.2177532223
IndirectionDC,planetlab2.uta.edu,google.de,1.912,10.988743073,16.4028707919,14.3261578791
IndirectionDC,planetlab2.uta.edu,reddit.com,1.248,1.914818,17.68703456,15.7066126282
IndirectionDC,planetlab2.uta.edu,wikia.com,4.647,14.185648573,16.1136650824,6.52018800417
IndirectionDC,planetlab2.uta.edu,wittyfeed.com,1.436,12.8100701262,15.6726584665,19.834769215
IndirectionDC,planetlab2.uta.edu,popads.net,1.204,2.49105524372,35.0907461783,31.2141207824
IndirectionDC,planetlab2.uta.edu,weather.com,1.892,14.4826998553,21.9444763624,19.2532643857
IndirectionDC,planetlab2.uta.edu,theladbible.com,1.460,13.1862695015,15.486014437,19.6385506428
IndirectionDC,planetlab2.uta.edu,theguardian.com,4.581,14.7807370484,15.419567112,6.59251346003
IndirectionDC,planetlab2.uta.edu,stackexchange.com,1.446,11.8442110581,15.5985292807,18.978381977
IndirectionDC,planetlab2.uta.edu,gfycat.com,1.441,10.6339419355,15.6394480127,18.2327480557
IndirectionDC,planetlab2.uta.edu,washingtonpost.com,7.523,2.13675856164,40.7428561448,5.69980256632
IndirectionDC,planetlab2.uta.edu,taringa.net,1.315,12.3088896377,16.7447178663,22.0939981019
IndirectionDC,planetlab2.uta.edu,feedly.com,1.518,1.98074950128,15.7348082061,11.6703278705
IndirectionDC,planetlab2.uta.edu,imzog.com,1.303,12.8529616354,15.7974422589,21.9880306173
IndirectionDC,planetlab2.uta.edu,hclips.com,1.291,13.4631713326,15.7511591487,22.6292257795
IndirectionDC,planetlab2.uta.edu,youm7.com,1.547,11.5642157688,16.3054536181,18.0153001855
IndirectionDC,planetlab2.uta.edu,torrentz.eu,1.484,14.3364064171,16.0491186278,20.4754211893
IndirectionDC,planetlab2.uta.edu,rdsa2012.com,2.156,11.1510597643,15.9761780604,12.5822067833
