type,node,server,direct_path,node_to_dc,DC_to_server,stretch
IndirectionDC,pluto.cs.brown.edu,youtube.com,1.407,10.3281991295,4.08150846124,10.2414410737
IndirectionDC,pluto.cs.brown.edu,google.co.uk,1.420,11.1265052102,3.81776491228,10.5241338891
IndirectionDC,pluto.cs.brown.edu,google.ru,1.380,10.3459507902,3.92923268482,10.3443358515
IndirectionDC,pluto.cs.brown.edu,tumblr.com,9.047,16.7612065986,46.4298148841,6.98474869931
IndirectionDC,pluto.cs.brown.edu,diply.com,1.500,15.4781874063,3.55511961538,12.6888713478
IndirectionDC,planetlab3.rutgers.edu,youtube.com,2.039,10.3281991295,15.793372615,12.8109719198
IndirectionDC,planetlab3.rutgers.edu,google.co.uk,1.828,11.1265052102,16.0893726451,14.8883358071
IndirectionDC,planetlab3.rutgers.edu,google.ru,1.875,10.3459507902,16.3616186186,14.244037018
IndirectionDC,planetlab3.rutgers.edu,blogspot.com,2.190,12.2322314915,15.8889438583,12.8407193378
IndirectionDC,planetlab3.rutgers.edu,tumblr.com,8.032,38.7469166352,46.4298148841,10.6046727489
IndirectionDC,planetlab3.rutgers.edu,diply.com,0.618,15.4781874063,15.4781874063,50.0912213796
IndirectionDC,planetlab3.rutgers.edu,indeed.com,8.177,38.7469166352,4.33640223263,5.26884173509
IndirectionDC,planetlab3.rutgers.edu,soundcloud.com,3.018,10.6067881631,35.3653450624,15.2326485174
IndirectionDC,planetlab3.rutgers.edu,salesforce.com,7.183,3.69413416537,35.2917975019,5.42752772759
IndirectionDC,planetlab3.rutgers.edu,taboola.com,7.826,38.7469166352,4.02405281553,5.46524015471
IndirectionDC,planetlab3.rutgers.edu,washingtonpost.com,7.048,3.18681746964,39.3098754689,6.02961023532
IndirectionDC,planetlab3.rutgers.edu,uptodown.com,7.662,13.2417861611,45.2858029669,7.63868299765
IndirectionDC,planetlab3.rutgers.edu,nih.gov,7.802,38.7469166352,4.12243764799,5.49466217421
IndirectionDC,planetlab3.rutgers.edu,comcast.net,7.742,23.0471257553,23.0471257553,5.95379120519
IndirectionDC,planetlab3.rutgers.edu,americanexpress.com,6.957,38.7469166352,43.517558526,11.8247053559
IndirectionDC,planetlab3.rutgers.edu,steampowered.com,7.053,17.6636048202,17.6636048202,5.00882030915
IndirectionDC,planetlab3.rutgers.edu,wikihow.com,6.966,2.62529972752,36.4238499055,5.60567752412
IndirectionDC,planetlab3.rutgers.edu,groupon.com,7.157,16.2423535433,44.9299092971,8.54719335481
IndirectionDC,planetlab3.rutgers.edu,hulu.com,7.341,23.8100759152,56.5543902711,10.9473458911
IndirectionDC,planetlab3.eecs.umich.edu,youtube.com,1.352,10.3281991295,15.793372615,19.3206891601
IndirectionDC,planetlab3.eecs.umich.edu,google.co.uk,1.440,11.1265052102,16.0893726451,18.8999151773
IndirectionDC,planetlab3.eecs.umich.edu,google.ru,1.355,10.3459507902,16.3616186186,19.7103833275
IndirectionDC,planetlab3.eecs.umich.edu,diply.com,1.371,15.4781874063,15.4781874063,22.5794127007
IndirectionDC,planetlab3.eecs.umich.edu,theguardian.com,6.055,15.3359010456,15.3359010456,5.06553296304
IndirectionDC,planetlab3.eecs.umich.edu,github.io,6.053,15.2926042645,15.5517482309,5.09571328191
IndirectionDC,planetlab3.eecs.umich.edu,files.wordpress.com,6.688,16.8155145349,17.000525283,5.05622604933
IndirectionDC,planetlab-01.cs.princeton.edu,tumblr.com,7.898,16.0996535948,46.4298148841,7.9171269282
IndirectionDC,planetlab-01.cs.princeton.edu,diply.com,0.600,15.4781874063,3.55511961538,31.7221783695
IndirectionDC,planetlab-01.cs.princeton.edu,americanexpress.com,11.300,16.0996535948,43.517558526,5.27585947972
IndirectionDC,planetlab2.utdallas.edu,youtube.com,0.970,10.3281991295,10.3281991295,21.2952559371
IndirectionDC,planetlab2.utdallas.edu,linkedin.com,1.737,10.8371795529,11.7092591793,12.9801028971
IndirectionDC,planetlab2.utdallas.edu,bing.com,1.212,10.8371795529,15.6259146758,21.8342361623
IndirectionDC,planetlab2.utdallas.edu,google.co.uk,1.124,10.8371795529,11.1265052102,19.540644807
IndirectionDC,planetlab2.utdallas.edu,google.ru,1.126,10.3459507902,10.3459507902,18.3764667677
IndirectionDC,planetlab2.utdallas.edu,reddit.com,1.063,10.8371795529,15.7617326584,25.0224950247
IndirectionDC,planetlab2.utdallas.edu,blogspot.com,1.130,10.8371795529,12.2322314915,20.4154080039
IndirectionDC,planetlab2.utdallas.edu,imgur.com,1.179,10.8371795529,19.2387668059,25.5097085316
IndirectionDC,planetlab2.utdallas.edu,diply.com,1.210,10.8371795529,15.4781874063,21.7482371564
IndirectionDC,planetlab2.utdallas.edu,wittyfeed.com,0.850,10.8371795529,15.6567075084,31.1692788956
IndirectionDC,planetlab2.utdallas.edu,soundcloud.com,1.210,10.6067881631,42.7127189073,44.0657083226
IndirectionDC,planetlab2.utdallas.edu,slideshare.net,1.762,10.8371795529,10.8563293608,12.3118665799
IndirectionDC,planetlab2.utdallas.edu,weather.com,1.205,10.8371795529,15.8688809261,22.1627057917
IndirectionDC,planetlab2.utdallas.edu,theladbible.com,0.800,10.8371795529,12.9607030741,29.7473532837
IndirectionDC,planetlab2.utdallas.edu,theguardian.com,1.547,10.8371795529,15.3359010456,16.9186041361
