type,node,server,direct_path,node_to_dc,DC_to_server,stretch
IndirectionDC,pluto.cs.brown.edu,facebook.com,75.064,16.7612065986,21.7806395476,0.513453135274
IndirectionDC,pluto.cs.brown.edu,twitter.com,33.572,16.7355989033,16.7355989033,0.996997432581
IndirectionDC,pluto.cs.brown.edu,linkedin.com,27.044,11.7092591793,14.6007681272,0.972860054226
IndirectionDC,pluto.cs.brown.edu,aliexpress.com,74.741,16.7612065986,46.3611091954,0.844547380875
IndirectionDC,pluto.cs.brown.edu,alibaba.com,75.477,16.7612065986,46.6081003421,0.839584336165
IndirectionDC,pluto.cs.brown.edu,chinadaily.com.cn,245.114,16.7612065986,199.987695063,0.8842779346
IndirectionDC,pluto.cs.brown.edu,go.com,68.444,16.7612065986,19.4507472885,0.529074190391
IndirectionDC,pluto.cs.brown.edu,jd.com,358.762,16.7612065986,270.482350198,0.800652122568
IndirectionDC,pluto.cs.brown.edu,haosou.com,327.956,16.7612065986,184.556585618,0.613856103308
IndirectionDC,pluto.cs.brown.edu,espn.go.com,70.326,16.7612065986,20.1546666667,0.524924967513
IndirectionDC,pluto.cs.brown.edu,indeed.com,28.781,16.7612065986,4.33640223263,0.73303946462
IndirectionDC,pluto.cs.brown.edu,detik.com,263.462,16.7612065986,190.839035826,0.787970342685
IndirectionDC,pluto.cs.brown.edu,cnet.com,65.381,16.7612065986,20.4646036783,0.56936740455
IndirectionDC,pluto.cs.brown.edu,bilibili.com,337.285,16.7612065986,272.448266431,0.857463192937
IndirectionDC,pluto.cs.brown.edu,salesforce.com,27.435,16.7612065986,3.69413416537,0.745592883688
IndirectionDC,pluto.cs.brown.edu,americanexpress.com,87.037,16.7612065986,43.517558526,0.692564830183
IndirectionDC,pluto.cs.brown.edu,mozilla.org,80.278,16.7612065986,3.9061735389,0.257447621235
IndirectionDC,pluto.cs.brown.edu,rdsa2012.com,46.837,16.7612065986,16.9601772625,0.719973180629
IndirectionDC,pluto.cs.brown.edu,groupon.com,38.867,16.2423535433,16.2423535433,0.835791470569
IndirectionDC,pluto.cs.brown.edu,shutterstock.com,510.566,16.5645800712,16.5645800712,0.0648871255477
IndirectionDC,pluto.cs.brown.edu,pandora.com,76.101,16.7612065986,3.92505567607,0.271826418505
IndirectionDC,pluto.cs.brown.edu,wikimedia.org,28.059,15.5110852601,3.48506799531,0.677007493332
IndirectionDC,planetlab3.rutgers.edu,foxnews.com,83.235,17.7351860044,62.4961321602,0.963913235593
IndirectionDC,planetlab3.rutgers.edu,mozilla.org,72.231,3.9061735389,47.9407071988,0.717792647723
IndirectionDC,planetlab3.rutgers.edu,rdsa2012.com,41.350,16.9601772625,16.9601772625,0.82032296312
IndirectionDC,planetlab3.rutgers.edu,shutterstock.com,603.925,16.5645800712,54.2477675405,0.117253545741
IndirectionDC,planetlab3.rutgers.edu,pandora.com,75.162,3.92505567607,47.5266532138,0.684544169792
IndirectionDC,planetlab3.eecs.umich.edu,salesforce.com,28.072,22.0419048161,3.69413416537,0.916786797573
IndirectionDC,planetlab3.eecs.umich.edu,mozilla.org,75.686,22.0419048161,3.9061735389,0.342838548146
IndirectionDC,planetlab3.eecs.umich.edu,rdsa2012.com,44.249,16.9601772625,16.9601772625,0.766579008
IndirectionDC,planetlab3.eecs.umich.edu,1688.com,333.498,22.0419048161,237.273654871,0.777562563155
IndirectionDC,planetlab3.eecs.umich.edu,shutterstock.com,552.763,16.5645800712,54.2477675405,0.128106164146
IndirectionDC,planetlab3.eecs.umich.edu,pandora.com,57.658,22.0419048161,3.92505567607,0.450361797013
IndirectionDC,planetlab-01.cs.princeton.edu,facebook.com,81.062,16.0996535948,21.7806395476,0.467300253416
IndirectionDC,planetlab-01.cs.princeton.edu,hao123.com,350.689,16.0996535948,258.631029824,0.783402625742
IndirectionDC,planetlab-01.cs.princeton.edu,aliexpress.com,77.025,16.0996535948,46.3611091954,0.810915453297
IndirectionDC,planetlab-01.cs.princeton.edu,alibaba.com,78.140,16.0996535948,46.6081003421,0.8025051694
IndirectionDC,planetlab-01.cs.princeton.edu,chinadaily.com.cn,282.436,16.0996535948,199.987695063,0.765084297532
IndirectionDC,planetlab-01.cs.princeton.edu,go.com,75.416,16.0996535948,19.4507472885,0.471390698039
IndirectionDC,planetlab-01.cs.princeton.edu,cntv.cn,317.418,16.0996535948,260.692141098,0.872010392268
IndirectionDC,planetlab-01.cs.princeton.edu,jd.com,419.242,16.0996535948,270.482350198,0.683571788592
IndirectionDC,planetlab-01.cs.princeton.edu,haosou.com,249.490,16.0996535948,184.556585618,0.804265658795
IndirectionDC,planetlab-01.cs.princeton.edu,espn.go.com,75.688,16.0996535948,20.1546666667,0.47899693824
IndirectionDC,planetlab-01.cs.princeton.edu,youku.com,491.269,16.0996535948,261.991520367,0.566067010053
IndirectionDC,planetlab-01.cs.princeton.edu,cnzz.com,342.271,16.0996535948,255.448033983,0.793370421619
IndirectionDC,planetlab-01.cs.princeton.edu,tudou.com,334.637,16.0996535948,313.226907124,0.984130746806
IndirectionDC,planetlab-01.cs.princeton.edu,detik.com,250.305,16.0996535948,190.839035826,0.826746127408
IndirectionDC,planetlab-01.cs.princeton.edu,cnet.com,71.673,16.0996535948,20.4646036783,0.51015385533
IndirectionDC,planetlab-01.cs.princeton.edu,uptodown.com,102.834,13.2417861611,13.2417861611,0.257537121207
IndirectionDC,planetlab-01.cs.princeton.edu,foxnews.com,80.546,16.0996535948,17.7351860044,0.420068527291
IndirectionDC,planetlab-01.cs.princeton.edu,target.com,109.493,16.0996535948,36.4141068314,0.479608380684
IndirectionDC,planetlab-01.cs.princeton.edu,51.la,325.127,16.0996535948,255.406811111,0.835078183928
